customer_text,draft_reply,judge_score,human_score
"@AmazonHelp refund for 292988 is taking forever, when will i see the money back #fail","Apologies for the delay. I've checked and your refund for order 292988 was processed, it can take 3-5 business days to reflect. -MK",4,5
@amazonhelp your app keeps crashing every time i try to check my orders,That's not the experience we want for you. Please DM us so we can look into this further. -MK,3,2
"@AmazonHelp item from order 443687 stopped working after 2 days, defective","I'm sorry about that! I've started a replacement for order 443687, no need to wait for the return. -RJ",4,5
how do I cancel order 876533? placed it 10 mins ago @AmazonHelp 😡,"Order 876533 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",4,4
"@AmazonHelp need to cancel order 516278 asap, ordered by mistake 😡","Order 516278 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",4,4
"requesting a refund for order 114219, item was not as described",Sorry about that! I can see the return was received; refund for 114219 is being processed now. -DS,4,4
"still waiting on order 843544 from @AmazonHelp, no tracking info at all #fail","I hear you, that's frustrating. Order 843544 left our facility yesterday and tracking will update within 24h. -RJ",4,4
"@AmazonHelp my package for order 898867 arrived DAMAGED, box was crushed #fail","So sorry for the trouble. I've escalated order 898867 to our carrier investigation team, you'll hear back in 24-48h. -RJ",5,4
hey @AmazonHelp where is my order #776909?? it's been 11 days,"So sorry about this delay. I've looked into order 776909 and it's showing movement as of today, expected delivery tomorrow. -MK",4,4
hey @AmazonHelp where is my order #303591?? it's been 6 days #fail,"I hear you, that's frustrating. Order 303591 left our facility yesterday and tracking will update within 24h. -RJ",4,3
"@AmazonHelp need to cancel order 433578 asap, ordered by mistake","Order 433578 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",4,4
"@AmazonHelp refund for 900432 is taking forever, when will i see the money back",Sorry about that! I can see the return was received; refund for 900432 is being processed now. -DS,4,4
"@AmazonHelp received the wrong item for order 725376, ordered a charger got headphones 😡","Apologies for the mix-up. I've flagged order 725376 for a correct replacement, it'll ship today. -DS",4,4
how do I cancel order 868344? placed it 10 mins ago @AmazonHelp,"I've cancelled order 868344 for you, you won't be charged. -MK",4,5
"still waiting on order 852110 from @AmazonHelp, no tracking info at all","I hear you, that's frustrating. Order 852110 left our facility yesterday and tracking will update within 24h. -RJ",4,4
hey @AmazonHelp where is my order #446919?? it's been 7 days,"So sorry about this delay. I've looked into order 446919 and it's showing movement as of today, expected delivery tomorrow. -MK",4,4
