tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,_true_intent,_should_escalate
34,AmazonHelp,False,2019-09-04,"Apologies for the delay. I've checked and your refund for order 863587 was processed, it can take 3-5 business days to reflect. -MK",,33,refund_request,False
35,cust62565,True,2019-01-06,hey @AmazonHelp where is my order #783823?? it's been 10 days,36,,order_status,False
36,AmazonHelp,False,2019-07-01,"Hi, sorry for the wait! I can see order 783823 is currently in transit and should arrive within 2 days. Tracking: bit.ly/track783823 -DS",,35,order_status,False
37,cust34890,True,2019-05-07,"@AmazonHelp courier left order 378085 at the wrong address, this is the 2nd time",38,,delivery_issue,False
38,AmazonHelp,False,2019-01-19,"That's not okay, apologies. I've marked order 378085 as not-received and a reshipment is on the way. -MK",,37,delivery_issue,False
39,cust76562,True,2019-02-28,"product from 668532 is clearly used/opened, not new as advertised @AmazonHelp",40,,product_defect,False
40,AmazonHelp,False,2019-03-03,"Apologies for the mix-up. I've flagged order 668532 for a correct replacement, it'll ship today. -DS",,39,product_defect,False
41,cust64948,True,2019-11-19,"@AmazonHelp I was charged TWICE for order 171262, unauthorized charge on my card",42,,billing_dispute,True
42,AmazonHelp,False,2019-10-17,"I understand the concern - for account security I can't verify charges here, please DM us so we can look into order 171262. -RJ",,41,billing_dispute,True
43,cust19508,True,2019-01-15,"@AmazonHelp courier left order 373432 at the wrong address, this is the 2nd time",44,,delivery_issue,False
44,AmazonHelp,False,2019-10-19,"I'm really sorry to hear that. I've filed a replacement for order 373432, it'll ship today at no extra cost. -DS",,43,delivery_issue,False
45,cust30676,True,2019-08-27,"@AmazonHelp any update on order 176819, tracking hasn't moved since 10 days ago",46,,order_status,False
46,AmazonHelp,False,2019-09-23,"I hear you, that's frustrating. Order 176819 left our facility yesterday and tracking will update within 24h. -RJ",,45,order_status,False
47,cust25129,True,2019-02-24,"@AmazonHelp my package for order 741390 arrived DAMAGED, box was crushed",48,,delivery_issue,True
48,AmazonHelp,False,2019-09-05,"So sorry for the trouble. I've escalated order 741390 to our carrier investigation team, you'll hear back in 24-48h. -RJ",,47,delivery_issue,True
49,cust16658,True,2019-02-21,"never received order 395442, @AmazonHelp tracking says delivered but nothing here",50,,delivery_issue,False
50,AmazonHelp,False,2019-07-27,"So sorry for the trouble. I've escalated order 395442 to our carrier investigation team, you'll hear back in 24-48h. -RJ",,49,delivery_issue,False
51,cust11267,True,2019-02-03,"@AmazonHelp courier left order 146228 at the wrong address, this is the 2nd time",52,,delivery_issue,False
52,AmazonHelp,False,2019-12-05,"I'm really sorry to hear that. I've filed a replacement for order 146228, it'll ship today at no extra cost. -DS",,51,delivery_issue,False
53,cust15229,True,2019-06-07,"@AmazonHelp this is fraud, I never ordered 137778 but got charged $89.99 😡",54,,billing_dispute,False
54,AmazonHelp,False,2019-11-08,"That's concerning, I'm sorry. Please DM us your order details so we can investigate the duplicate charge on 137778. -MK",,53,billing_dispute,False
55,cust33206,True,2019-07-01,"can't sign in to my account, says 'suspicious activity' @AmazonHelp",56,,account_access,True
56,AmazonHelp,False,2019-03-24,That sounds concerning. Please send us a DM with your registered email so we can secure your account right away. -MK,,55,account_access,True
57,cust39154,True,2019-04-27,@AmazonHelp your app keeps crashing every time I try to check my orders,58,,general_complaint,False
58,AmazonHelp,False,2019-08-12,"I'm really sorry to hear about your experience. I'd like to make this right, can you DM us more details? -RJ",,57,general_complaint,False
59,cust56025,True,2019-11-17,"never received order 960394, @amazonhelp tracking says delivered but nothing here",60,,delivery_issue,False
60,AmazonHelp,False,2019-07-22,"I'm really sorry to hear that. I've filed a replacement for order 960394, it'll ship today at no extra cost. -DS",,59,delivery_issue,False
61,cust88193,True,2019-07-12,"@AmazonHelp need to cancel order 662262 asap, ordered by mistake",62,,cancellation,True
62,AmazonHelp,False,2019-12-26,"I've cancelled order 662262 for you, you won't be charged. -MK",,61,cancellation,True
63,cust80575,True,2019-11-24,"@AmazonHelp my package for order 557592 arrived DAMAGED, box was crushed #fail",64,,delivery_issue,False
64,AmazonHelp,False,2019-12-24,"That's not okay, apologies. I've marked order 557592 as not-received and a reshipment is on the way. -MK",,63,delivery_issue,False
65,cust49363,True,2019-09-10,"@AmazonHelp someone else logged into my account, I didn't authorize this",66,,account_access,True
66,AmazonHelp,False,2019-11-14,"Sorry for the trouble! For account security, please DM us so we can help verify and restore access. -DS",,65,account_access,True
67,cust49446,True,2019-07-18,"never received order 521947, @AmazonHelp tracking says delivered but nothing here",68,,delivery_issue,False
68,AmazonHelp,False,2019-01-10,"I'm really sorry to hear that. I've filed a replacement for order 521947, it'll ship today at no extra cost. -DS",,67,delivery_issue,False
69,cust32241,True,2019-11-03,"@AmazonHelp courier left order 320392 at the wrong address, this is the 2nd time",70,,delivery_issue,False
70,AmazonHelp,False,2019-05-17,"That's not okay, apologies. I've marked order 320392 as not-received and a reshipment is on the way. -MK",,69,delivery_issue,False
71,cust13201,True,2019-01-08,"@AmazonHelp someone else logged into my account, I didn't authorize this",72,,account_access,True
72,AmazonHelp,False,2019-08-20,"Sorry for the trouble! For account security, please DM us so we can help verify and restore access. -DS",,71,account_access,True
73,cust29342,True,2019-11-23,how do I cancel order 905819? placed it 10 mins ago @AmazonHelp,74,,cancellation,False
74,AmazonHelp,False,2019-01-25,"Order 905819 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",,73,cancellation,False
75,cust25906,True,2019-08-05,how do i cancel order 907451? placed it 10 mins ago @amazonhelp,76,,cancellation,False
76,AmazonHelp,False,2019-08-22,"I've cancelled order 907451 for you, you won't be charged. -MK",,75,cancellation,False
77,cust30861,True,2019-12-28,"requesting a refund for order 686075, item was not as described",78,,refund_request,False
78,AmazonHelp,False,2019-08-15,"I've gone ahead and issued the refund for order 686075 directly, you should see it within 5 business days. -RJ",,77,refund_request,False
79,cust54020,True,2019-06-18,"@AmazonHelp courier left order 888295 at the wrong address, this is the 2nd time",80,,delivery_issue,True
80,AmazonHelp,False,2019-02-05,"So sorry for the trouble. I've escalated order 888295 to our carrier investigation team, you'll hear back in 24-48h. -RJ",,79,delivery_issue,True
81,cust65069,True,2019-07-25,"@AmazonHelp any update on order 342495, tracking hasn't moved since 8 days ago",82,,order_status,True
82,AmazonHelp,False,2019-10-23,"I hear you, that's frustrating. Order 342495 left our facility yesterday and tracking will update within 24h. -RJ",,81,order_status,True
83,cust64921,True,2019-09-24,"@AmazonHelp placed order 998348 last week, still says 'preparing for shipment' wtf",84,,order_status,False
84,AmazonHelp,False,2019-12-18,"So sorry about this delay. I've looked into order 998348 and it's showing movement as of today, expected delivery tomorrow. -MK",,83,order_status,False
85,cust31632,True,2019-08-05,"@AmazonHelp received the wrong item for order 732556, ordered a charger got headphones",86,,product_defect,False
86,AmazonHelp,False,2019-10-18,"I'm sorry about that! I've started a replacement for order 732556, no need to wait for the return. -RJ",,85,product_defect,False
87,cust37742,True,2019-08-11,hey @amazonhelp where is my order #513160?? it's been 11 days,88,,order_status,False
88,AmazonHelp,False,2019-06-25,"Hi, sorry for the wait! I can see order 513160 is currently in transit and should arrive within 2 days. Tracking: bit.ly/track513160 -DS",,87,order_status,False
89,cust39389,True,2019-11-03,how do i cancel order 497542? placed it 10 mins ago @amazonhelp,90,,cancellation,False
90,AmazonHelp,False,2019-11-02,"Order 497542 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",,89,cancellation,False
91,cust70952,True,2019-12-09,"@AmazonHelp item from order 132537 stopped working after 2 days, defective",92,,product_defect,False
92,AmazonHelp,False,2019-06-06,"I'm sorry about that! I've started a replacement for order 132537, no need to wait for the return. -RJ",,91,product_defect,False
93,cust61990,True,2019-12-07,"@AmazonHelp I was charged TWICE for order 736745, unauthorized charge on my card 😡",94,,billing_dispute,False
94,AmazonHelp,False,2019-02-19,"I understand the concern - for account security I can't verify charges here, please DM us so we can look into order 736745. -RJ",,93,billing_dispute,False
95,cust84177,True,2019-01-12,"@AmazonHelp locked out of my account, reset link isn't working",96,,account_access,True
96,AmazonHelp,False,2019-09-14,"Sorry for the trouble! For account security, please DM us so we can help verify and restore access. -DS",,95,account_access,True
97,cust70258,True,2019-12-05,"can't sign in to my account, says 'suspicious activity' @AmazonHelp",98,,account_access,True
98,AmazonHelp,False,2019-07-06,That sounds concerning. Please send us a DM with your registered email so we can secure your account right away. -MK,,97,account_access,True
99,cust21359,True,2019-05-15,"@AmazonHelp received the wrong item for order 647091, ordered a charger got headphones",100,,product_defect,False
100,AmazonHelp,False,2019-04-25,"Apologies for the mix-up. I've flagged order 647091 for a correct replacement, it'll ship today. -DS",,99,product_defect,False
101,cust43862,True,2019-06-09,"@AmazonHelp refund for 697530 is taking forever, when will i see the money back",102,,refund_request,False
102,AmazonHelp,False,2019-10-23,"I've gone ahead and issued the refund for order 697530 directly, you should see it within 5 business days. -RJ",,101,refund_request,False
103,cust94659,True,2019-12-16,"@AmazonHelp need to cancel order 389688 asap, ordered by mistake",104,,cancellation,False
104,AmazonHelp,False,2019-08-26,"I've cancelled order 389688 for you, you won't be charged. -MK",,103,cancellation,False
105,cust65771,True,2019-12-18,"@AmazonHelp any update on order 197573, tracking hasn't moved since 6 days ago",106,,order_status,False
106,AmazonHelp,False,2019-06-12,"So sorry about this delay. I've looked into order 197573 and it's showing movement as of today, expected delivery tomorrow. -MK",,105,order_status,False
107,cust34267,True,2019-04-07,"@AmazonHelp someone else logged into my account, I didn't authorize this",108,,account_access,False
108,AmazonHelp,False,2019-12-16,That sounds concerning. Please send us a DM with your registered email so we can secure your account right away. -MK,,107,account_access,False
109,cust26591,True,2019-05-02,"@AmazonHelp courier left order 859782 at the wrong address, this is the 2nd time",110,,delivery_issue,False
110,AmazonHelp,False,2019-01-18,"I'm really sorry to hear that. I've filed a replacement for order 859782, it'll ship today at no extra cost. -DS",,109,delivery_issue,False
111,cust16734,True,2019-05-28,package 831295 arrived open and half the items missing @AmazonHelp,112,,delivery_issue,True
112,AmazonHelp,False,2019-08-04,"I'm really sorry to hear that. I've filed a replacement for order 831295, it'll ship today at no extra cost. -DS",,111,delivery_issue,True
113,cust21164,True,2019-04-04,"@AmazonHelp received the wrong item for order 168517, ordered a charger got headphones",114,,product_defect,False
114,AmazonHelp,False,2019-09-25,"I'm sorry about that! I've started a replacement for order 168517, no need to wait for the return. -RJ",,113,product_defect,False
115,cust66207,True,2019-05-19,"@AmazonHelp refund for 735770 is taking forever, when will i see the money back",116,,refund_request,False
116,AmazonHelp,False,2019-10-02,"Apologies for the delay. I've checked and your refund for order 735770 was processed, it can take 3-5 business days to reflect. -MK",,115,refund_request,False
117,cust63545,True,2019-08-23,"@AmazonHelp I was charged TWICE for order 876039, unauthorized charge on my card 😡",118,,billing_dispute,True
118,AmazonHelp,False,2019-10-16,"That's concerning, I'm sorry. Please DM us your order details so we can investigate the duplicate charge on 876039. -MK",,117,billing_dispute,True
119,cust91927,True,2019-10-22,"@AmazonHelp courier left order 134225 at the wrong address, this is the 2nd time #fail",120,,delivery_issue,False
120,AmazonHelp,False,2019-04-14,"So sorry for the trouble. I've escalated order 134225 to our carrier investigation team, you'll hear back in 24-48h. -RJ",,119,delivery_issue,False
121,cust84607,True,2019-05-15,"@AmazonHelp any update on order 671015, tracking hasn't moved since 5 days ago 😡",122,,order_status,False
122,AmazonHelp,False,2019-02-15,"So sorry about this delay. I've looked into order 671015 and it's showing movement as of today, expected delivery tomorrow. -MK",,121,order_status,False
123,cust13390,True,2019-02-08,"@AmazonHelp someone else logged into my account, I didn't authorize this",124,,account_access,True
124,AmazonHelp,False,2019-11-27,That sounds concerning. Please send us a DM with your registered email so we can secure your account right away. -MK,,123,account_access,True
125,cust46458,True,2019-03-19,"@AmazonHelp need to cancel order 703139 asap, ordered by mistake",126,,cancellation,False
126,AmazonHelp,False,2019-07-21,"Order 703139 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",,125,cancellation,False
127,cust74942,True,2019-05-22,"@AmazonHelp received the wrong item for order 615611, ordered a charger got headphones",128,,product_defect,False
128,AmazonHelp,False,2019-07-27,"Apologies for the mix-up. I've flagged order 615611 for a correct replacement, it'll ship today. -DS",,127,product_defect,False
129,cust10150,True,2019-11-28,"@AmazonHelp received the wrong item for order 676818, ordered a charger got headphones",130,,product_defect,False
130,AmazonHelp,False,2019-09-15,"I'm sorry about that! I've started a replacement for order 676818, no need to wait for the return. -RJ",,129,product_defect,False
131,cust27172,True,2019-05-15,"@amazonhelp refund for 156837 is taking forever, when will i see the money back",132,,refund_request,False
132,AmazonHelp,False,2019-12-16,"I've gone ahead and issued the refund for order 156837 directly, you should see it within 5 business days. -RJ",,131,refund_request,False
133,cust24871,True,2019-08-04,"@AmazonHelp any update on order 130271, tracking hasn't moved since 12 days ago",134,,order_status,False
134,AmazonHelp,False,2019-11-27,"I hear you, that's frustrating. Order 130271 left our facility yesterday and tracking will update within 24h. -RJ",,133,order_status,False
135,cust88561,True,2019-09-24,"still waiting on order 622584 from @AmazonHelp, no tracking info at all",136,,order_status,False
136,AmazonHelp,False,2019-03-28,"So sorry about this delay. I've looked into order 622584 and it's showing movement as of today, expected delivery tomorrow. -MK",,135,order_status,False
137,cust96499,True,2019-08-28,"still waiting on order 389666 from @AmazonHelp, no tracking info at all 😡",138,,order_status,False
138,AmazonHelp,False,2019-03-15,"I hear you, that's frustrating. Order 389666 left our facility yesterday and tracking will update within 24h. -RJ",,137,order_status,False
139,cust40613,True,2019-07-02,why does my statement show two charges for order 607868?? @AmazonHelp,140,,billing_dispute,True
140,AmazonHelp,False,2019-06-24,"I understand the concern - for account security I can't verify charges here, please DM us so we can look into order 607868. -RJ",,139,billing_dispute,True
141,cust87356,True,2019-06-28,"requesting a refund for order 839485, item was not as described",142,,refund_request,True
142,AmazonHelp,False,2019-02-28,Sorry about that! I can see the return was received; refund for 839485 is being processed now. -DS,,141,refund_request,True
143,cust44737,True,2019-06-20,how do I cancel order 561694? placed it 10 mins ago @AmazonHelp,144,,cancellation,False
144,AmazonHelp,False,2019-12-13,"I've cancelled order 561694 for you, you won't be charged. -MK",,143,cancellation,False
145,cust90931,True,2019-02-08,"can't sign in to my account, says 'suspicious activity' @AmazonHelp",146,,account_access,True
146,AmazonHelp,False,2019-11-22,That sounds concerning. Please send us a DM with your registered email so we can secure your account right away. -MK,,145,account_access,True
147,cust49251,True,2019-01-02,@AmazonHelp your app keeps crashing every time I try to check my orders 😡,148,,general_complaint,False
148,AmazonHelp,False,2019-06-26,"I'm really sorry to hear about your experience. I'd like to make this right, can you DM us more details? -RJ",,147,general_complaint,False
149,cust20350,True,2019-10-28,"still waiting on order 407618 from @AmazonHelp, no tracking info at all",150,,order_status,False
150,AmazonHelp,False,2019-07-20,"So sorry about this delay. I've looked into order 407618 and it's showing movement as of today, expected delivery tomorrow. -MK",,149,order_status,False
151,cust70981,True,2019-05-22,"can't sign in to my account, says 'suspicious activity' @AmazonHelp",152,,account_access,False
152,AmazonHelp,False,2019-09-06,"Sorry for the trouble! For account security, please DM us so we can help verify and restore access. -DS",,151,account_access,False
153,cust73335,True,2019-02-08,"still waiting on order 563187 from @AmazonHelp, no tracking info at all",154,,order_status,False
154,AmazonHelp,False,2019-07-19,"I hear you, that's frustrating. Order 563187 left our facility yesterday and tracking will update within 24h. -RJ",,153,order_status,False
155,cust16428,True,2019-10-24,"@AmazonHelp courier left order 702733 at the wrong address, this is the 2nd time",156,,delivery_issue,False
156,AmazonHelp,False,2019-08-27,"I'm really sorry to hear that. I've filed a replacement for order 702733, it'll ship today at no extra cost. -DS",,155,delivery_issue,False
157,cust27927,True,2019-11-04,how do I cancel order 400096? placed it 10 mins ago @AmazonHelp,158,,cancellation,False
158,AmazonHelp,False,2019-11-21,"I've cancelled order 400096 for you, you won't be charged. -MK",,157,cancellation,False
159,cust36318,True,2019-03-26,hey @AmazonHelp where is my order #423939?? it's been 9 days,160,,order_status,False
160,AmazonHelp,False,2019-09-12,"I hear you, that's frustrating. Order 423939 left our facility yesterday and tracking will update within 24h. -RJ",,159,order_status,False
161,cust25095,True,2019-08-03,@AmazonHelp I returned order 626169 2 weeks ago and still no refund,162,,refund_request,False
162,AmazonHelp,False,2019-03-25,"I've gone ahead and issued the refund for order 626169 directly, you should see it within 5 business days. -RJ",,161,refund_request,False
163,cust80329,True,2019-02-15,@AmazonHelp your app keeps crashing every time I try to check my orders,164,,general_complaint,True
164,AmazonHelp,False,2019-06-22,That's not the experience we want for you. Please DM us so we can look into this further. -MK,,163,general_complaint,True
165,cust83584,True,2019-06-20,"product from 805000 is clearly used/opened, not new as advertised @AmazonHelp",166,,product_defect,True
166,AmazonHelp,False,2019-04-21,"Apologies for the mix-up. I've flagged order 805000 for a correct replacement, it'll ship today. -DS",,165,product_defect,True
167,cust22739,True,2019-04-18,"still waiting on order 766269 from @AmazonHelp, no tracking info at all",168,,order_status,False
168,AmazonHelp,False,2019-03-13,"I hear you, that's frustrating. Order 766269 left our facility yesterday and tracking will update within 24h. -RJ",,167,order_status,False
169,cust22978,True,2019-08-20,"@AmazonHelp refund for 489033 is taking forever, when will i see the money back",170,,refund_request,False
170,AmazonHelp,False,2019-07-09,Sorry about that! I can see the return was received; refund for 489033 is being processed now. -DS,,169,refund_request,False
171,cust94518,True,2019-06-02,"@AmazonHelp any update on order 823811, tracking hasn't moved since 7 days ago",172,,order_status,False
172,AmazonHelp,False,2019-07-09,"So sorry about this delay. I've looked into order 823811 and it's showing movement as of today, expected delivery tomorrow. -MK",,171,order_status,False
173,cust26505,True,2019-10-07,hey @amazonhelp where is my order #228093?? it's been 9 days,174,,order_status,False
174,AmazonHelp,False,2019-02-27,"I hear you, that's frustrating. Order 228093 left our facility yesterday and tracking will update within 24h. -RJ",,173,order_status,False
175,cust46342,True,2019-03-05,"product from 681128 is clearly used/opened, not new as advertised @AmazonHelp",176,,product_defect,False
176,AmazonHelp,False,2019-09-09,"I'm sorry about that! I've started a replacement for order 681128, no need to wait for the return. -RJ",,175,product_defect,False
177,cust44782,True,2019-01-05,"product from 282973 is clearly used/opened, not new as advertised @AmazonHelp",178,,product_defect,True
178,AmazonHelp,False,2019-12-14,"I'm sorry about that! I've started a replacement for order 282973, no need to wait for the return. -RJ",,177,product_defect,True
179,cust15683,True,2019-12-26,"requesting a refund for order 219169, item was not as described",180,,refund_request,False
180,AmazonHelp,False,2019-11-17,"I've gone ahead and issued the refund for order 219169 directly, you should see it within 5 business days. -RJ",,179,refund_request,False
181,cust68138,True,2019-02-03,"@AmazonHelp my package for order 580292 arrived DAMAGED, box was crushed",182,,delivery_issue,False
182,AmazonHelp,False,2019-06-20,"I'm really sorry to hear that. I've filed a replacement for order 580292, it'll ship today at no extra cost. -DS",,181,delivery_issue,False
183,cust69469,True,2019-09-20,"still waiting on order 168872 from @AmazonHelp, no tracking info at all",184,,order_status,False
184,AmazonHelp,False,2019-07-04,"I hear you, that's frustrating. Order 168872 left our facility yesterday and tracking will update within 24h. -RJ",,183,order_status,False
185,cust22463,True,2019-06-14,"product from 835869 is clearly used/opened, not new as advertised @AmazonHelp",186,,product_defect,False
186,AmazonHelp,False,2019-06-22,"I'm sorry about that! I've started a replacement for order 835869, no need to wait for the return. -RJ",,185,product_defect,False
187,cust27054,True,2019-09-02,package 492483 arrived open and half the items missing @AmazonHelp 😡,188,,delivery_issue,False
188,AmazonHelp,False,2019-10-18,"I'm really sorry to hear that. I've filed a replacement for order 492483, it'll ship today at no extra cost. -DS",,187,delivery_issue,False
189,cust47700,True,2019-10-10,"@AmazonHelp I was charged TWICE for order 445658, unauthorized charge on my card",190,,billing_dispute,False
190,AmazonHelp,False,2019-06-04,"I understand the concern - for account security I can't verify charges here, please DM us so we can look into order 445658. -RJ",,189,billing_dispute,False
191,cust85248,True,2019-04-26,"@AmazonHelp I was charged TWICE for order 632060, unauthorized charge on my card",192,,billing_dispute,False
192,AmazonHelp,False,2019-07-28,"I understand the concern - for account security I can't verify charges here, please DM us so we can look into order 632060. -RJ",,191,billing_dispute,False
193,cust50499,True,2019-06-12,"@amazonhelp this is fraud, i never ordered 904711 but got charged $89.99",194,,billing_dispute,True
194,AmazonHelp,False,2019-01-06,"That's concerning, I'm sorry. Please DM us your order details so we can investigate the duplicate charge on 904711. -MK",,193,billing_dispute,True
195,cust65028,True,2019-08-11,how do I cancel order 250210? placed it 10 mins ago @AmazonHelp #fail,196,,cancellation,False
196,AmazonHelp,False,2019-03-12,"I've cancelled order 250210 for you, you won't be charged. -MK",,195,cancellation,False
197,cust65576,True,2019-08-20,"@AmazonHelp my package for order 856648 arrived DAMAGED, box was crushed #fail",198,,delivery_issue,False
198,AmazonHelp,False,2019-08-14,"I'm really sorry to hear that. I've filed a replacement for order 856648, it'll ship today at no extra cost. -DS",,197,delivery_issue,False
199,cust15952,True,2019-04-13,"@AmazonHelp my package for order 326040 arrived DAMAGED, box was crushed",200,,delivery_issue,False
200,AmazonHelp,False,2019-10-02,"That's not okay, apologies. I've marked order 326040 as not-received and a reshipment is on the way. -MK",,199,delivery_issue,False
201,cust26932,True,2019-07-18,"@AmazonHelp any update on order 314353, tracking hasn't moved since 6 days ago",202,,order_status,False
202,AmazonHelp,False,2019-12-08,"Hi, sorry for the wait! I can see order 314353 is currently in transit and should arrive within 2 days. Tracking: bit.ly/track314353 -DS",,201,order_status,False
203,cust51033,True,2019-10-14,"requesting a refund for order 685864, item was not as described",204,,refund_request,True
204,AmazonHelp,False,2019-10-13,"Apologies for the delay. I've checked and your refund for order 685864 was processed, it can take 3-5 business days to reflect. -MK",,203,refund_request,True
205,cust57428,True,2019-02-14,"@AmazonHelp someone else logged into my account, I didn't authorize this",206,,account_access,True
206,AmazonHelp,False,2019-02-08,"Sorry for the trouble! For account security, please DM us so we can help verify and restore access. -DS",,205,account_access,True
207,cust76910,True,2019-11-04,"@AmazonHelp refund for 717476 is taking forever, when will i see the money back",208,,refund_request,False
208,AmazonHelp,False,2019-09-17,"Apologies for the delay. I've checked and your refund for order 717476 was processed, it can take 3-5 business days to reflect. -MK",,207,refund_request,False
209,cust32740,True,2019-10-05,"still waiting on order 913934 from @AmazonHelp, no tracking info at all",210,,order_status,False
210,AmazonHelp,False,2019-11-03,"I hear you, that's frustrating. Order 913934 left our facility yesterday and tracking will update within 24h. -RJ",,209,order_status,False
211,cust93269,True,2019-10-11,"@AmazonHelp placed order 910389 last week, still says 'preparing for shipment' wtf",212,,order_status,False
212,AmazonHelp,False,2019-11-11,"So sorry about this delay. I've looked into order 910389 and it's showing movement as of today, expected delivery tomorrow. -MK",,211,order_status,False
213,cust70521,True,2019-08-02,"@AmazonHelp placed order 561124 last week, still says 'preparing for shipment' wtf",214,,order_status,True
214,AmazonHelp,False,2019-01-12,"So sorry about this delay. I've looked into order 561124 and it's showing movement as of today, expected delivery tomorrow. -MK",,213,order_status,True
215,cust84928,True,2019-11-07,"@AmazonHelp need to cancel order 401022 asap, ordered by mistake",216,,cancellation,False
216,AmazonHelp,False,2019-06-20,"Order 401022 has been cancelled successfully, refund (if charged) will process in 3-5 days. -DS",,215,cancellation,False
217,cust32617,True,2019-01-08,@AmazonHelp I returned order 625721 2 weeks ago and still no refund,218,,refund_request,False
218,AmazonHelp,False,2019-12-15,"I've gone ahead and issued the refund for order 625721 directly, you should see it within 5 business days. -RJ",,217,refund_request,False
219,cust16863,True,2019-11-21,"@AmazonHelp refund for 649525 is taking forever, when will i see the money back",220,,refund_request,False
